MatOldNew	PairNum	Deck1Feedback	Deck2Feedback	Pay1Back	Pay1BackTrial	Mat1Back	DelayDecks	SwitchDecks	Switch1Back	Sub	Trial	Pay	RT	Resp	ChosenSide	choice	Stay
0	1	0.6	0.8	NaN	NaN	NaN	NaN	NaN	NaN	1	1	0.6	457.019113004208	j	1	0	NaN
0	2	0.6	0.2	NaN	NaN	NaN	1	1	NaN	1	2	0.2	561.763219535351	j	1	1	NaN
1	2	0.2	0.6	0.2	0.6	0	0	0	1	1	3	0.2	411.744585260749	j	1	0	0
0	1	0	0.6	0.6	NaN	0	2	1	NaN	1	4	NaN	NaN	NaN	NaN	NaN	0
0	2	0	1	0.2	0.2	0	1	1	0	1	5	1	503.23667190969	k	2	1	0
1	2	-0	0.8	1	NaN	0	0	0	1	1	6	-0	478.70965488255	j	1	0	0
0	1	0.2	0.4	NaN	0.2	0	2	1	1	1	7	0.2	672.883003950119	k	2	0	0
1	1	0	0.6	0.2	-0	0	0	0	1	1	8	0	651.167703792453	j	1	0	1
1	2	0	1	-0	1	1	2	1	0	1	9	1	595.427667722106	j	1	1	0
1	2	0.2	1	1	0	1	0	0	1	1	10	1	542.02526062727	j	1	1	1
1	1	0.4	0.6	0	0.2	1	2	1	0	1	11	0.6	813.800869509578	j	1	1	0
1	1	0.4	0.2	0.6	1	1	0	0	1	1	12	0.2	494.980165734887	j	1	1	1
0	2	0.2	0.8	1	1	1	2	1	0	1	13	0.8	390.899617224932	k	2	1	1
1	1	0.4	0.6	0.2	0.6	1	1	1	0	1	14	0.6	402.155559509993	k	2	1	1
1	1	0.4	0	0.6	0.8	1	0	0	1	1	15	0	531.385472044349	k	2	1	1
1	2	0.4	1	0.8	0.2	1	2	1	1	1	16	1	422.471405938268	j	1	1	1
1	2	0.4	1	1	0	1	0	0	1	1	17	1	574.681732803583	j	1	1	1
0	1	0.2	0.8	0	0.6	1	2	1	0	1	18	0.8	375.937208533287	j	1	1	1
1	1	0.4	0.6	0.8	1	0	0	0	1	1	19	0.6	578.370308503509	k	2	1	1
1	2	0.2	0.6	1	1	0	2	1	0	1	20	0.6	683.150513097644	k	2	1	1
0	1	0	0.6	0.6	0.8	1	1	1	0	1	21	0.6	554.358975961804	k	2	1	1
1	1	0	0.6	0.6	0.6	0	0	0	1	1	22	0.6	517.052065581083	j	1	1	1
0	2	1	0.6	0.6	0.6	1	2	1	1	1	23	0.6	622.344952076674	j	1	1	1
1	1	0.4	0.8	0.6	0.6	1	1	1	0	1	24	0.8	655.924528837204	k	2	1	1
0	2	0.8	0.4	0.6	0.6	0	1	1	1	1	25	0.4	408.010510727763	k	2	1	1
0	1	0.4	0.6	0.8	0.6	1	1	1	1	1	26	0.6	426.136899739504	j	1	1	1
1	2	0.2	0.6	0.4	0.8	1	1	1	1	1	27	0.6	460.794439539313	j	1	1	1
0	2	0.8	0.8	0.6	0.6	1	0	0	1	1	28	0.8	580.302791669965	j	1	1	1
1	1	0.6	0.6	0.6	0.4	0	2	1	1	1	29	0.6	460.864786058664	k	2	1	1
0	1	0.4	0.4	0.6	0.8	1	0	0	1	1	30	0.4	454.147882759571	k	2	1	1
0	1	0.8	0	0.4	0.6	0	0	0	0	1	31	0.8	530.051965266466	j	1	0	0
1	2	0.4	0.8	0.8	0.6	0	3	1	0	1	32	0.8	400.495922192931	k	2	1	1
1	1	0.4	0.4	0.8	0.4	0	1	1	0	1	33	0.4	659.506227821112	k	2	0	1
0	2	0	0	0.8	0.8	1	1	1	1	1	34	0	454.343222081661	j	1	1	1
1	1	1	0.2	0.4	0.8	1	1	1	1	1	35	1	469.993880018592	k	2	0	1
1	1	0.8	0.4	1	0	1	0	0	1	1	36	0.8	541.990742087364	k	2	0	1
0	2	0.4	0.2	0	0.4	0	2	1	1	1	37	0.4	456.498978659511	k	2	0	0
1	2	-0	0.4	0.4	0.8	0	0	0	1	1	38	-0	852.010808885098	j	1	0	1
1	1	0.4	0	0.8	1	1	2	1	0	1	39	0.4	493.331393226981	k	2	0	1
1	2	0.8	0.4	-0	0.4	1	1	1	0	1	40	0.4	382.991664111614	k	2	1	0
0	1	0.4	0.4	0.4	-0	1	1	1	1	1	41	0.4	528.054116293788	j	1	0	1
1	1	0.2	-0	0.4	0.4	0	0	0	1	1	42	-0	592.547550797462	k	2	1	0
1	2	0.6	0.6	0.4	0.4	1	2	1	1	1	43	0.6	466.257987543941	j	1	1	1
1	1	0.6	0.6	-0	0.4	1	1	1	0	1	44	0.6	403.257934376597	k	2	1	1
1	2	0.4	0.2	0.6	-0	1	1	1	1	1	45	0.2	491.808550432324	k	2	1	1
0	1	0.4	0.2	0.6	0.6	1	1	1	1	1	46	0.2	428.46361733973	k	2	1	1
0	2	0.4	0.6	0.2	0.6	1	1	1	1	1	47	0.4	599.343860521913	j	1	0	0
1	2	0.6	0	0.4	0.2	0	0	0	1	1	48	0.6	551.220700144768	j	1	0	1
1	2	1	0.4	0.6	0.4	1	0	0	0	1	49	1	423.962043598294	j	1	0	1
1	2	0.6	0.6	1	0.6	1	0	0	0	1	50	0.6	440.984893590212	j	1	0	1
0	1	0.4	1	0.2	0.2	0	4	1	1	1	51	0.4	541.173368692398	j	1	0	0
0	2	0.8	0.2	0.6	1	0	1	1	0	1	52	0.8	492.8980153054	j	1	0	1
1	1	-0	0.6	0.4	0.6	0	1	1	1	1	53	-0	445.418206974864	j	1	0	1
0	2	0.2	0.4	0.8	0.4	0	1	1	1	1	54	0.2	494.838880375028	j	1	0	1
0	1	0.6	1	-0	0.8	1	1	1	1	1	55	1	400.014350190759	j	1	1	0
0	1	0.2	0.4	1	0.2	0	0	0	1	1	56	0.4	457.395019009709	j	1	1	1
0	1	0.4	1	0.4	1	0	0	0	0	1	57	1	453.661616891623	j	1	1	1
0	1	0	0.4	1	0.4	0	0	0	0	1	58	0.4	420.727510005236	j	1	1	1
0	2	0.4	0.8	0.2	-0	1	4	1	1	1	59	0.8	509.716402739286	k	2	1	0
0	1	0.4	0.4	0.4	1	0	1	1	0	1	60	0.4	440.278014168143	k	2	0	0
0	2	0.2	0.4	0.8	0.4	0	1	1	1	1	61	0.4	543.179588392377	k	2	1	1
0	1	0.4	1	0.4	0.8	0	1	1	1	1	62	0.4	434.870509430766	j	1	0	1
1	2	0.2	0	0.4	0.4	0	1	1	1	1	63	0	411.382358521223	j	1	1	1
0	2	0.4	0.2	0	0.4	0	0	0	1	1	64	0.2	829.291889443994	j	1	1	1
1	1	0.4	0.4	0.4	0.4	0	2	1	1	1	65	0.4	494.454327970743	j	1	1	0
0	1	0.4	0.8	0.4	0.2	1	0	0	1	1	66	0.8	638.899650424719	j	1	1	1
1	2	0.4	-0	0.2	0	0	2	1	0	1	67	0.4	505.795858800411	j	1	0	0
1	1	0.4	0.8	0.8	0.4	0	1	1	0	1	68	0.8	617.413712665439	j	1	1	1
0	2	0.8	-0	0.4	0.8	0	1	1	1	1	69	-0	386.658973991871	k	2	1	0
0	2	0.4	0	-0	0.8	0	0	0	1	1	70	0	405.279221013188	k	2	1	1
1	2	0	-0	0	-0	1	0	0	0	1	71	0	470.406986773014	j	1	0	0
0	2	0.6	0	0	0	0	0	0	0	1	72	0.6	607.361664995551	k	2	0	1
1	1	0.4	0.2	0.8	0.4	1	4	1	1	1	73	0.2	928.244723007083	k	2	1	1
0	2	0.4	0.2	0.6	0	1	1	1	0	1	74	0.2	634.90897975862	j	1	1	0
0	2	0.8	0.6	0.2	0.2	1	0	0	1	1	75	0.8	426.444783806801	j	1	0	0
0	2	0.2	0	0.8	0.2	1	0	0	0	1	76	0.2	357.86266438663	j	1	0	1
0	2	1	0.2	0.2	0.8	0	0	0	0	1	77	1	382.383439689875	k	2	0	1
1	1	0.2	0.4	0.2	0.6	1	4	1	1	1	78	0.2	879.349628463387	j	1	0	0
1	2	1	0.6	1	0.2	1	1	1	0	1	79	1	449.220301583409	j	1	0	1
0	1	1	0.4	0.2	1	1	1	1	1	1	80	1	651.578364893794	j	1	0	1
1	1	1	0.2	1	1	0	0	0	1	1	81	1	500.867558643222	k	2	0	1
0	2	0.2	0.2	1	0.2	0	2	1	1	1	82	0.2	587.905284017324	j	1	0	1
1	2	1	0	0.2	1	0	0	0	1	1	83	1	567.549919709563	j	1	0	1
0	1	0.8	-0	1	1	1	2	1	0	1	84	0.8	567.164964973927	k	2	0	1
1	2	0.8	0	1	0.2	0	1	1	0	1	85	0.8	512.457314878702	j	1	0	1
1	2	0.8	0	0.8	0.8	0	0	0	1	1	86	0.8	419.177047908306	k	2	0	1
0	1	0.4	0.4	0.8	1	0	2	1	1	1	87	0.4	485.118363052607	k	2	0	1
0	2	0.6	0.8	0.8	0.8	0	1	1	0	1	88	0.6	420.680237933993	j	1	0	1
0	2	0.4	0	0.6	0.4	0	0	0	1	1	89	0.4	493.438160046935	j	1	0	1
0	1	0.2	0.4	0.4	0.8	0	2	1	1	1	90	0.2	417.0374982059	j	1	0	1
0	2	0.4	0.2	0.4	0.6	0	1	1	0	1	91	0.4	727.305356413126	k	2	0	1
0	2	0.6	0	0.4	0.2	1	0	0	1	1	92	0.6	544.147383421659	j	1	0	1
0	2	0.4	-0	0.6	0.4	1	0	0	0	1	93	0.4	401.311997324228	j	1	0	1
0	1	0.2	0	0.2	0.4	0	3	1	1	1	94	0.2	435.597289353609	k	2	0	1
0	1	1	0.2	0.2	0.4	0	0	0	1	1	95	1	532.624555751681	k	2	0	1
0	1	1	0	1	0.2	0	0	0	0	1	96	1	446.830088272691	k	2	0	1
0	2	0.6	0	0.4	0.6	0	3	1	0	1	97	0.6	567.611852660775	j	1	0	1
0	1	0.8	0.2	1	1	0	1	1	0	1	98	0.8	521.220494061708	j	1	0	1
1	1	0.8	0.6	0.8	0.6	0	0	0	1	1	99	0.8	513.175755739212	j	1	0	1
0	2	0.4	0.4	0.6	1	1	2	1	1	1	100	0.4	400.886129587889	k	2	0	1
1	1	1	0.6	0.8	0.8	1	1	1	0	1	101	1	515.040339902043	j	1	0	1
0	2	0.6	0.6	0.4	0.8	1	1	1	1	1	102	0.6	342.335816472769	k	2	1	0
0	2	0.4	-0	0.6	1	1	0	0	1	1	103	0.4	718.697292730212	j	1	0	0
0	1	0.6	0.4	1	0.4	1	2	1	1	1	104	0.6	472.353516146541	k	2	0	1
1	1	0.6	0.8	0.6	0.4	0	0	0	1	1	105	0.6	472.794255241752	j	1	0	1
1	2	1	0	0.4	0.6	1	2	1	0	1	106	1	633.99706967175	k	2	0	1
